Timestamp,Potencia activa ADT02,Caudal Turbinado,Nivel de cota de embalse,Temperatura aceite caliente cojinete axial,Temperatura aceite frio cojinete axial,Temperatura entrada agua enfriam. aceite,Temperatura salida agua  enfriam. aceite,Temperatura bobinado fase U,Temperatura bobinado fase V,Temperatura bobinado fase W,Apertura Distribuidor,Temperatura metal cojinete Axial x1,Temperatura metal cojinete Axial x2,Temperatura metal cojinete Axial x3,Temperatura metal cojinete Axial x4,Temperatura metal cojinete Axial x5,Temperatura metal cojinete Axial x6,Temperatura metal cojinete Axial x7,Temperatura metal cojinete Axial x8,Temperatura metal cojinete Axial x9,Temperatura metal cojinete Axial x10,Temperatura metal cojinete Axial x11,Temperatura metal cojinete Axial x12,Vibracion absoluta superior X,Vibracion absoluta turbina X,Vibracion relativa inferior X,Vibracion relativa inferior Y,Vibracion relativa superior X,Vibracion relativa superior Y,Vibracion relativa turbina X,Vibracion relativa turbina Y
2024-07-01T08:30:00Z,-0.100242615,0.0,1337.12,12.7958336,11.7112827,13.2376919,21.15381,34.53576,34.4146347,36.43343,0.0336284637,30.5789223,30.7404213,30.6596718,30.6596718,30.82117,30.5385475,30.5385475,30.5789223,30.5385475,30.7404213,30.7404213,30.7000465,0.131239578,0.140110582,0.120251171,0.121597491,0.0911335945,0.07986624,0.0927032,0.0581736937
2024-07-01T09:00:00Z,-0.100242615,0.0,1337.12,12.7958336,11.7112827,13.2376919,21.15381,34.53576,34.4146347,36.43343,0.0336284637,30.5789223,30.7404213,30.6596718,30.6596718,30.82117,30.5385475,30.5385475,30.5789223,30.5385475,30.7404213,30.7404213,30.7000465,0.129899368,0.138731778,0.119365878,0.121345863,0.0909886658,0.08809098,0.09180775,0.0578358956
2024-07-01T09:30:00Z,-0.100242615,0.0,1337.12,12.7958336,11.7112827,13.2376919,21.15381,34.53576,34.4146347,36.43343,0.0336284637,30.5789223,30.7404213,30.6596718,30.6596718,30.82117,30.5385475,30.5385475,30.5789223,30.5385475,30.7404213,30.7404213,30.7000465,0.128559142,0.137352958,0.118480586,0.121094234,0.09084373,0.09631571,0.0909123048,0.0574981
2024-07-01T10:00:00Z,-0.100242615,0.0,1337.12,12.7958336,11.7112827,13.2376919,21.15381,34.53576,34.4146347,36.43343,0.0336284637,30.5789223,30.7404213,30.6596718,30.6596718,30.82117,30.5385475,30.5385475,30.5789223,30.5385475,30.7404213,30.7404213,30.7000465,0.127218917,0.135974154,0.1175953,0.120842606,0.0906988,0.104540445,0.09001686,0.057160303
2024-07-01T10:30:00Z,-0.100242615,0.0,1337.12,12.7958336,11.7112827,13.2376919,21.15381,34.53576,34.4146347,36.43343,0.0336284637,30.5789223,30.7404213,30.6596718,30.6596718,30.82117,30.5385475,30.5385475,30.5789223,30.5385475,30.7404213,30.7404213,30.7000465,0.152357459,0.144370228,0.121831216,0.120590977,0.0905538648,0.112765178,0.0894584656,0.0582782663
2024-07-01T11:00:00Z,-0.100242615,0.0,1337.12,12.7958336,11.7112827,13.2376919,21.15381,34.53576,34.4146347,36.43343,0.0336284637,30.5789223,30.7404213,30.6596718,30.6596718,30.82117,30.5385475,30.5385475,30.5789223,30.5385475,30.7404213,30.7404213,30.7000465,0.180341,0.153898463,0.133141965,0.11335405,0.08513326,0.115172811,0.08912589,0.061416667
2024-07-01T11:30:00Z,-0.100242615,0.0,1337.12,12.7958336,11.7112827,13.2376919,21.15381,34.53576,34.4146347,36.43343,0.0336284637,30.5789223,30.7404213,30.6596718,30.6596718,30.82117,30.5385475,30.5385475,30.5789223,30.5385475,30.7404213,30.7404213,30.7000465,0.208324566,0.1634267,0.144452721,0.111034095,0.09092985,0.1050003,0.088793315,0.06455507
2024-07-01T12:00:00Z,-0.100242615,0.0,1337.12,12.7958336,11.7112827,13.2376919,21.15381,34.53576,34.4146347,36.43343,0.0336284637,30.5789223,30.7404213,30.6596718,30.6596718,30.82117,30.5385475,30.5385475,30.5789223,30.5385475,30.7404213,30.7404213,30.7000465,0.236308113,0.172954932,0.155763477,0.317053348,0.09672643,0.09482779,0.08846074,0.06769347
2024-07-01T12:30:00Z,-0.100242615,0.0,1337.12,12.7958336,11.7112827,13.2376919,21.15381,34.53576,34.4146347,36.43343,0.0336284637,30.5789223,30.7404213,30.6596718,30.6596718,30.82117,30.5385475,30.5385475,30.5789223,30.5385475,30.7404213,30.7404213,30.7000465,1.14089215,0.8081656,182.89743,172.867035,245.863739,211.253616,210.070465,211.197845
2024-07-01T13:00:00Z,-0.100242615,0.0,1337.12,12.7958336,11.7112827,13.2376919,21.15381,34.53576,34.4146347,36.43343,0.0336284637,30.5789223,30.7404213,30.6596718,30.6596718,30.82117,30.5385475,30.5385475,30.5789223,30.5385475,30.7404213,30.7404213,30.7000465,1.12634933,0.782609344,198.566055,204.513016,228.778076,201.942749,250.096466,250.153
